ubn,country_code,farm_name,recent_mpr_date
107276801,GB,"W T SMOLDON, FULLABROOK FARM",2025-08-05
509082,NL,Nagel,2025-10-08
484396,NL,Mts Verkerk,2025-09-30
146632301,GB,Lawrence P Arthurs,2025-09-14
193223,NL,Mts van der Spoel,2025-10-10
2055929,NL,FIRMA PRINS,2025-10-14
334460,NL,Mts Stemerdink,2025-09-22
456207,NL,Fa. Zant  Den Hartog,2025-09-10
244897,NL,Mts. H en J de Boer Bolding,2025-08-28
084678301,GB,D DALTON & SON LTD BOCKHAMPTON FARM,2025-09-25
028221701,GB,J PICKFORD SPOT GRANGE HILDERSTONE,2025-10-19
901206300,GB,GREENFIELD FARMS,2025-10-06
909021900,GB,"T R,P E & J LITTLE",2025-09-30
24116,GB,J&R Morrison,2025-09-30
4106802770,BE,Simoens Jan,2025-09-24
269133,NL,Wigman,2025-01-14
35245249,FR,Earl ANGOT,2025-09-26
22324038,FR,Alan Le Montreer,2025-10-09
917445900,GB,Eamon Conlon,2022-05-10
7202011641,BE,MAES LV,2025-10-15
337917,NL,Sturkenboom,2025-09-24
29271088,FR,EARL ROSEC XAVIER,2025-10-13
68329001,FR,Gaec Hohneck,2025-09-18
22292101,FR,EARL du Gohy,2025-09-04
097847307,GB,CREECH HILL PARTNERSHIP CREECH HILL FARM,2025-06-24
6123716,NL,Marianhoeve,2025-09-21
30953,NL,Molkfeebedriuw de jong,2025-10-17
146578901,GB,ALLISTER MCCULLOUGH 38 ROCAVAN ROAD,2025-10-08
1202104731,BE,Maatschap Goossens Paul en Stef,2025-10-13
889805,NL,Mts de With,2025-09-23
43039019,FR,GAEC DU CAMELIA,2023-03-01
025059501,GB,"T Penrose, Bull Haw Hall, Barnsley",2025-10-08
530295,NL,Mts VugtsSchellekens,2025-09-16
302382,NL,Te Voortwis C.V.,2025-09-26
162948,NL,Smit,2025-03-28
50518032,FR,Mickael DUFOUR,2025-09-30
066526303,GB,H W & E WILLIAMS GWYNDY,2025-06-24
046825801,GB,B L SERCOMBE ESQ PENHILL FARM,2025-10-14
902771600,GB,"FINE FARM LTD, MANOR FARM",2025-10-07
1102324871,BE,Van Den Bergh-van Aert MTS,2024-07-02
219255,NL,J en EJG en AJ en GA Reinders,2025-09-25
345404,NL,M.J.H. Langedijk,2025-09-18
109724501,GB,BC & NWJ MONIES TREMEDDA FARM,2025-02-18
024558902,GB,MR VIC FITZELL MOSS HOUSE FARM MOSS HOUSE LANE,2025-10-19
146620101,GB,R & M BRISTOW,2025-09-17
30874,NL,Rijpkema,2025-09-30
496267,NL,Boerderij de Vriendschap,2025-10-04
413673,NL,Maatschap Verhagen,2025-10-14
456173,NL,VOF N.S.M. Disseldorp,2025-10-07
521244,GB,J W McCollum and sons,2025-09-30
404596,NL,Vof vd Heuvel-Kant,2025-09-30
22382004,FR,EARL DU PETIT ROCHER,2025-08-05
010550353505,DE,Milchhof Broosch GbR,2025-10-13
940830,NL,Mts Rd+Kch Gideonse-Wouters,2025-10-01
82780,GB,Tullywinney Dairies,2025-10-06
29169027,FR,Bourhis Yoan,2025-04-24
1354054,NL,EVERLAND HOLSTEINS,2025-02-25
902765900,GB,"RHYS GRIFFITHS, GR GRIFFITHS AND SON (HOLSTEIN), NEW MOAT",2025-09-30
DE010550444423,DE,Tews,2025-10-09
171111,NL,De Scheerse Polder,2025-10-08
318273,NL,"FIKSE + ZWEP, VOF",2024-01-23
269810,NL,Mts. Janssen,2025-09-21
321301,NL,VOF Wiegerinck-Uilenreef,2025-10-08
687258,NL,"mts. E.G., J. en E.D Wessels",2025-09-26
44069101,FR,EARL Cannevé,2025-10-15
555081,NL,Firma Takken,2025-09-05
524964,NL,Melkveebedrijf Godrie - Sprenkels,2025-09-29
39518003,FR,GAEC DE LA COMBE DE SONGESON,2025-09-15
1060214,NL,Maatschap Groeneveld-Verrips,2024-11-19
240626,NL,Mts. Derks,2025-09-12
6208923,NL,MTS BODDE,2025-10-12
902484200,GB,"A STRUTHERS & SONS, Newhouse Farm",2025-09-30
3600600388,BE,Valcke Luc,2025-10-01
152271,NL,Hoogkamp,2025-10-02
912406100,GB,Pat O'Hanlon,2025-08-18
336396,NL,ROOIJEN,2024-02-21
50131043,FR,EARL LA PROVOSTIERE,2025-10-07
50629149,FR,MR LEBARBIER KEVIN,2025-09-02
096611203,GB,"CRUTCHLEY FARMS, MARSH FARM HERD POWERSTOCK",2025-05-06
057965801,GB,"T & V M BENNETT, COLLEGE FARM",2025-09-26
028927801,GB,JD AM & PJ HALL CROWGUTTER FARM,2025-10-02
1102501289,BE,'S JONGERS RENE&JA,2025-10-14
1301203769,BE,Guy van Bedts,2025-10-17
25541009,FR,GAEC DU MONT ROCHER,2025-10-03
028031101,GB,R KITE COTON HALL FARM,2025-09-30
902674400,GB,DRUMLISTER FARMING,2023-11-09
066825001,GB,D L L & H L L DAVIES MOOR FARM,2025-10-07
3201201575,BE,Aernoudt,2025-09-16
22058013,FR,EARL DE QUILLIEN,2025-08-27
105381202,GB,VJ & RJ ORCHARD LUCKHAM,2025-10-10
244646,NL,MTS VOGELAAR,2025-10-14
318118,NL,F.H. Janssen,2025-10-17
836274,NL,Maatschap Bloemhof,2025-10-18
913292000,GB,Mr Gordon Smith,2025-10-06
288626,NL,Janssen siegerswoude,2025-10-13
1100088,NL,"OOSTERHOUT-KOOLEN, MTS H+M VAN",2024-12-06
3701568500,BE,Steven de Cloedt,2025-10-03
911409100,GB,"MR TIMOTHY MCAULEY, 43 VOW ROAD",2025-10-07
162591,NL,Mts W+W+L Poel,2025-09-12
334604,NL,HJA kuijer,2025-09-16
763385,NL,A.J.Hartveld vof,2023-12-27
106724302,GB,W G S & M G AXFORD GUNNACOTT FARM,2025-09-23
912321700,GB,JOHN AND GARETH CULBERTSON,2025-08-26
447780,NL,American Holsteins,2025-09-21
52113,NL,Mts Koopmans en Spijker,2025-09-30
358109,NL,Mts. H.J. Bos & M. Bos-Beukers,2025-10-17
909040000,GB,CROCHMORE (HOLDINGS) LTD,2025-09-29
274317,NL,H.J.M. LANKHORST,2025-10-17
911485900,GB,BRIAN COMPTON,2025-09-09
1087424,NL,Mts. Klunder,2025-10-03
63131111,FR,GAEC DE LA FOUILHOUZE,2025-10-02
098032701,GB,"J J & S M SPILLER, SOUTH BRADON FARM",2025-09-30
036461702,GB,"J F TEMPLE & SON LTD, COPYS GREEN FARM",2025-10-08
50400178,FR,EARL RACHINE,2025-10-07
146648201,GB,H S & P DUFFIN 14 BALLSALLAGH ROAD,2025-10-08
317968,NL,Van Zoelen Melkvee,2025-10-04
350523,NL,Firma  LODEWIJKS,2025-09-15
383356,NL,Binnendijk JD en ETCM,2025-10-15
921168701,GB,J R & S E DICKINSON,2025-09-24
109273702,GB,MESSRS A G LUDWELL & SON EAST ASH FARM (2),2025-08-26
2403409,NL,M.J. Klaver,2025-09-08
411125,NL,Melkveebedrijf de haas vof,2025-09-12
6801382,NL,Mts W Hoeve en A Hoeve-Coster,2025-10-16
248020,NL,Maatschap Beukerink,2025-10-01
577519,NL,Mts. Gommans,2025-10-09
51475,NL,MTS Visser,2025-09-11
904653300,GB,C J & V M GILLESPIE,2025-10-04
146648001,GB,MICHAEL SMYTH 56 WHITEFORT ROAD,2025-10-07
555672,NL,VOF Vinken,2025-09-26
176202,NL,MTS Vedder,2025-09-24
108238501,GB,J A SWEET & PARTNERS VENTONARREN FARM,2025-09-25
901183900,GB,JOHN R WALLER Hall Beck Jersey,2025-10-08
451790,NL,Mts Janssen-Kleijnen,2025-10-14
35020998,FR,EARL LA PULIRAIS,2023-02-01
56075916,FR,EARL Becel,2025-09-09
50275003,FR,GAEC DE LA JULINIERE,2025-08-25
901133000,GB,MIDDLE CLIFFE DAIRIES LTD,2025-09-01
396257,NL,Melkveebedrijf Verheyen,2025-09-21
22243007,FR,Earl de la voie romaine,2025-10-12
50037008,FR,GAEC CARNET GAUCHER,2025-09-24
29183001,FR,Earl de la haie,2025-10-07
058804401,GB,D A & L A CULLIMORE MOBLEY FARM,2025-08-20
046756501,GB,G R ROBINSON (FARMS) LTD GRANGE FARM,2025-10-14
028494801,GB,W & P E GOSLING & SON,2025-09-30
1300815769,BE,Sofie Lietaer vvzrl,2025-10-16
344883,NL,geBR GROOT,2025-09-09
044800601,GB,F H EVERETT & SON CAMPERDOWN FARM,2025-09-22
066184503,GB,"DC & A ROBERTS & G C ROBERTS, CAERWYS",2025-06-23
909041200,GB,"MESSRS G & M WILSON & SONS, LOW FIELD FARM",2025-10-02
146613001,GB,DOMINIC MCELROY,2023-08-02
78207,NL,J ROTTEVEEL,2025-10-01
14667033,FR,GAEC LALONDE,2025-10-15
22331050,FR,MICKAEL RAOULT,2025-10-15
028009002,GB,W W & W G CLARKE LONGSHAW FARM,2025-05-22
902735200,GB,BEDDOES & SONS,2025-03-31
917245000,GB,MR TOM PORTER,2025-06-05
1302119714,BE,Boonen Ludo en Steven vvzra,2025-10-10
337931,NL,VOF P&C van Rooijen,2025-09-17
108770001,GB,F E ADAMS & SONS WARD FARM,2025-09-14
146563602,GB,BARKHILL FARM,2025-08-12
820479,NL,A en F Lugtenberg,2025-09-17
7202902122,BE,KUPPENS ERIK & KUP,2025-10-18
377142,NL,Firma Hijkoop/Zaal,2024-08-17
146572902,GB,ANDREW JAMISON,2024-02-08
181194,NL,Melkveehouderij Brouwer,2024-07-25
414555,NL,Schepens VOF,2025-06-05
343145,NL,Familie Peek,2025-10-15
2260192,NL,Melkveebedrijf Oversticht,2025-09-23
42091170,FR,42 GAEC DES LYS,2025-02-26
921090301,GB,DUNCAN HUGHES,2025-09-24
901168400,GB,M Armstrong,2025-08-05
915468800,GB,Adam Watson,2025-07-28
343925,NL,J A Grootendorst,2025-09-25
519759,NL,J Brans,2025-09-23
29255008,FR,GAEC DE QUELENNOC,2025-10-14
902630400,GB,"J H B TUCKER, THE BEECHES",2025-09-02
901121600,GB,EC JERVIS & SON,2025-08-13
1866030,NL,Ft Kroes,2025-09-18
6119957,NL,Olde Engberink,2025-09-09
901109800,GB,EJ & WJ GRIGG & SONS,2025-10-15
066571402,GB,E O MORRIS & SON MARIAN MAWR,2025-10-01
50037095,FR,GAEC MARTIN HAMEL,2025-09-24
560813,IT,Finiletto Az.Agr. di Leoni Anna Lucia,2024-10-27
152989,NL,Migchels,2025-10-02
3800205069,BE,KARL DHONDT,2025-09-24
50362100,FR,Mr Ludovic MANCEL,2025-09-25
35133058,FR,Barbé Vincent,2025-09-25
50323029,FR,GAEC LA LOURIE,2025-09-12
057878001,GB,PJ CHARLES MOUNT PLEASANT FARM,2025-03-20
2441430,NL,V.O.F. Doornenbal,2025-09-14
800846,NL,Melkvee+Zorg+Loonbedr A Meerke,2025-10-19
6054160,NL,Kranenburg Dairy,2025-10-12
170679,NL,Landbouwbedrijf Koers,2025-06-05
32860,GB,Stephen Gibson,2024-07-18
14416026,FR,GAEC GOSSELIN,2025-10-06
22045029,FR,Earl sylvain le nouvel,2025-10-02
066669701,GB,GW ROBERTS & CO PLAS HEATON FARM,2025-09-25
911948800,GB,"MR S ONEILL, SHANES CASTLE ESTATE",2025-10-08
10591612199,DE,"Kock, Fabian",2025-10-08
332101,NL,Nelis,2025-09-25
